Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,6587.919922,6672.890137,6587.919922,6609.609863,6609.609863,21593100
2020-10-19,6607.890137,6661.069824,6597.660156,6597.660156,6597.660156,13836700
2020-10-20,6608.990234,6658.879883,6576.729980,6601.390137,6601.390137,18110700
2020-10-21,6609.410156,6614.310059,6478.160156,6494.270020,6494.270020,22775200
2020-10-22,6494.859863,6550.189941,6434.669922,6523.649902,6523.649902,20247000
2020-10-23,6524.189941,6593.649902,6501.549805,6574.399902,6574.399902,21173500
2020-10-26,6556.859863,6574.870117,6446.319824,6464.680176,6464.680176,22835300
2020-10-27,6464.740234,6464.740234,6314.890137,6339.819824,6339.819824,20010700
2020-10-28,6327.129883,6327.129883,6117.640137,6168.240234,6168.240234,27135300
2020-10-29,6171.970215,6392.700195,6170.339844,6359.589844,6359.589844,25016700
2020-10-30,6345.890137,6436.129883,6300.479980,6427.750000,6427.750000,22977200
2020-11-02,6427.750000,6546.540039,6396.049805,6516.819824,6516.819824,18646400
2020-11-03,6534.160156,6706.060059,6534.160156,6703.100098,6703.100098,24371100
2020-11-04,6698.819824,6811.640137,6539.879883,6749.290039,6749.290039,24941600
2020-11-05,6770.109863,6836.169922,6729.879883,6799.450195,6799.450195,29584000
2020-11-06,6788.609863,6855.259766,6710.149902,6814.549805,6814.549805,23635500
2020-11-09,6815.080078,7188.089844,6815.080078,6993.120117,6993.120117,44689600
2020-11-10,6993.640137,7104.390137,6944.879883,7104.390137,7104.390137,60291900
2020-11-11,7104.390137,7239.200195,7104.390137,7230.540039,7230.540039,30257000
2020-11-12,7230.540039,7251.250000,7149.890137,7165.370117,7165.370117,41273600
2020-11-13,7166.160156,7191.830078,7099.450195,7177.120117,7177.120117,21905200
2020-11-16,7182.479980,7257.419922,7150.890137,7234.850098,7234.850098,27141600
2020-11-17,7219.669922,7221.700195,7070.500000,7105.779785,7105.779785,23441500
2020-11-18,7105.990234,7187.830078,7071.799805,7187.509766,7187.509766,26153400
2020-11-19,7187.109863,7187.109863,7070.509766,7087.950195,7087.950195,18812300
2020-11-20,7088.100098,7136.560059,7070.299805,7125.990234,7125.990234,19209300
2020-11-23,7125.990234,7184.169922,7081.350098,7081.350098,7081.350098,20746100
2020-11-24,7081.600098,7147.720215,7040.270020,7147.720215,7147.720215,30781700
2020-11-25,7147.669922,7225.470215,7135.379883,7210.930176,7210.930176,40377600
2020-11-26,7211.250000,7228.649902,7183.640137,7218.470215,7218.470215,21281200
2020-11-27,7226.979980,7258.839844,7169.850098,7224.700195,7224.700195,25010800
2020-11-30,7223.750000,7223.750000,7127.799805,7184.750000,7184.750000,34187800
2020-12-01,7184.649902,7283.479980,7158.919922,7229.799805,7229.799805,42527500
2020-12-02,7228.830078,7228.830078,7135.040039,7193.419922,7193.419922,30521700
2020-12-03,7194.000000,7405.870117,7154.100098,7339.810059,7339.810059,31821400
2020-12-04,7340.009766,7513.109863,7339.580078,7513.109863,7513.109863,48701500
2020-12-07,7516.100098,7516.100098,7411.750000,7471.529785,7471.529785,30447200
2020-12-08,7471.529785,7488.879883,7411.899902,7476.450195,7476.450195,30585100
2020-12-09,7476.549805,7500.450195,7413.129883,7427.279785,7427.279785,21199300
2020-12-10,7427.430176,7452.350098,7353.330078,7399.419922,7399.419922,33656600
2020-12-11,7399.569824,7399.569824,7285.850098,7314.790039,7314.790039,20439900
2020-12-14,7315.399902,7487.990234,7315.399902,7396.379883,7396.379883,35747400
2020-12-15,7395.330078,7422.450195,7373.250000,7398.200195,7398.200195,17500000
2020-12-16,7397.899902,7508.370117,7397.899902,7457.069824,7457.069824,27157300
2020-12-17,7456.709961,7527.259766,7396.390137,7423.899902,7423.899902,19128500
2020-12-18,7425.080078,7468.580078,7253.939941,7423.990234,7423.990234,30066100
2020-12-21,7423.990234,7423.990234,7168.459961,7302.060059,7302.060059,23461400
2020-12-22,7302.709961,7372.220215,7296.240234,7347.569824,7347.569824,23902800
2020-12-23,7347.640137,7474.660156,7347.640137,7474.660156,7474.660156,15637800
2020-12-24,7479.350098,7500.740234,7424.160156,7455.759766,7455.759766,5413900
2020-12-29,7456.459961,7558.009766,7451.959961,7552.899902,7552.899902,18235400
2020-12-30,7553.870117,7584.459961,7525.020020,7531.529785,7531.529785,10682100
2020-12-31,7531.529785,7531.529785,7376.330078,7376.330078,7376.330078,8261900
2021-01-04,7390.529785,7601.910156,7390.529785,7493.569824,7493.569824,28005200
2021-01-05,7498.310059,7502.509766,7335.879883,7384.140137,7384.140137,31955300
2021-01-06,7383.740234,7739.959961,7383.740234,7713.540039,7713.540039,28846500
2021-01-07,7723.009766,7814.899902,7705.549805,7760.069824,7760.069824,25490000
2021-01-08,7760.799805,7834.770020,7700.649902,7700.649902,7700.649902,22662600
2021-01-11,7700.509766,7750.180176,7618.540039,7646.680176,7646.680176,32516600
2021-01-12,7641.950195,7697.040039,7637.549805,7667.979980,7667.979980,18633400
2021-01-13,7670.459961,7695.819824,7565.689941,7565.689941,7565.689941,34026200
2021-01-14,7565.689941,7604.100098,7528.450195,7571.080078,7571.080078,25180200
2021-01-15,7555.109863,7566.109863,7478.370117,7523.410156,7523.410156,47820000
2021-01-18,7524.259766,7528.009766,7437.240234,7445.339844,7445.339844,12907100
2021-01-19,7445.899902,7508.850098,7441.240234,7446.479980,7446.479980,18531900
2021-01-20,7457.839844,7494.649902,7427.299805,7456.899902,7456.899902,32551100
2021-01-21,7435.770020,7538.029785,7435.770020,7476.180176,7476.180176,22822100
2021-01-22,7476.129883,7480.339844,7289.060059,7354.250000,7354.250000,33456000
2021-01-25,7353.979980,7392.890137,7189.569824,7206.589844,7206.589844,24370100
2021-01-26,7206.259766,7289.399902,7206.259766,7247.459961,7247.459961,25105000
2021-01-27,7248.339844,7248.339844,7030.479980,7070.240234,7070.240234,35858500
2021-01-28,7064.770020,7172.779785,6969.649902,7146.410156,7146.410156,29054100
2021-01-29,7147.080078,7147.080078,7023.529785,7047.299805,7047.299805,27942500
2021-02-01,7030.009766,7148.020020,7023.319824,7125.509766,7125.509766,19696600
2021-02-02,7123.319824,7306.520020,7123.319824,7301.450195,7301.450195,28419500
2021-02-03,7306.399902,7393.419922,7306.399902,7337.609863,7337.609863,25969000
2021-02-04,7337.850098,7378.970215,7277.129883,7358.020020,7358.020020,18940500
2021-02-05,7358.580078,7425.290039,7345.689941,7361.959961,7361.959961,18490100
2021-02-08,7363.799805,7419.750000,7353.720215,7360.700195,7360.700195,14706000
2021-02-09,7360.379883,7390.379883,7308.740234,7334.299805,7334.299805,20450100
2021-02-10,7333.149902,7386.640137,7220.560059,7259.899902,7259.899902,18706000
2021-02-11,7259.759766,7298.089844,7168.890137,7236.359863,7236.359863,23175600
2021-02-12,7235.290039,7286.850098,7163.109863,7278.709961,7278.709961,60164200
2021-02-15,7282.509766,7378.939941,7282.509766,7362.560059,7362.560059,45134300
2021-02-16,7362.609863,7473.930176,7313.939941,7339.180176,7339.180176,16717200
2021-02-17,7341.939941,7350.959961,7264.839844,7300.569824,7300.569824,42987800
2021-02-18,7300.759766,7337.870117,7224.089844,7244.879883,7244.879883,26340700
